영화이름,상영일시,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수,
벅스 프렌즈, 2018.06.06,2,딩 스,"김소희,윤세웅,석승훈",22,1463,36905
베놈, 2018.10.03,4,루벤 플레셔,"톰 하디,미셸 윌리엄스,리즈 아메드,제니 슬레이트,레이드 스콧",50141,50073,3887051
베러 와치 아웃, 2018.02.08,1,크리스 펙커버,"리바이 밀러,올리비아 데종,에드 옥슨볼드,데이커 몽고메리,버지니아 매드슨",33,20,4579
벽 속에 숨은 마법시계, 2018.10.31,4,일라이 로스,"잭 블랙,케이트 블란쳇,오웬 바카로,카일 맥라클란,콜린 캠프",89,1498,184440
보리 vs 매켄로, 2018.05.10,2,야누스 메츠,"스베리르 구드나손,샤이아 라보프,스텔란 스카스가드,튜바 노보트니,스콧 아서",1079,63,9215
봄이가도, 2018.09.13,4,장준엽,"유재명,전미선,전석호,김혜준,김민하",10173,10075,2976
빅 식, 2018.07.18,3,마이클 쇼월터,"쿠마일 난지아니,조 카잔,홀리 헌터,레이 로마노,아누팜 커",1113,86,15042
사라진 밤, 2018.03.07,2,이창희,"김상경,김강우,김희애,한지안,이지훈",10200,10088,1315735
서버비콘, 2018.07.12,3,조지 클루니,"맷 데이먼,줄리안 무어,노아 주프,오스카 아이삭,글렌 플레쉬러",1047,1473,12713
서산개척단, 2018.05.24,2,이조훈,"정영철,하용복,윤기숙,정화자,이상범",47,4367,5260
서치, 2018.08.29,3,아니쉬 차간티,"존 조,데브라 메싱,미셸 라,조셉 리,사라 손",10190,10077,2949744
"세라비, 이것이 인생!", 2018.05.30,2,올리비에르 나카체,"장 피에르 바크리,질 를르슈,수잔 클레망,장 폴 루브,빈센트 맥케인",23,15,23193
스타 이즈 본, 2018.10.09,4,브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리어트,데이브 샤펠,보니 소머빌",3126,10054,434534
시카리오: 데이 오브 솔다도, 2018.06.27,3,스테파노 솔리마,"조슈 브롤린,베니시오 델 토로,이사벨라 모너,제프리 도노반,캐서린 키너",7082,1507,229542
신 전래동화, 2018.04.25,2,이상훈,"재희,윤기원,유다미,이상훈,김덕현",24,15,36
신과함께-인과 연, 2018.08.01,3,김용화,"하정우,주지훈,김향기,마동석,김동욱",810143,1310067,12274021
아일라, 2018.06.21,3,잔 울카이,"김설,이스마일 하지오글루,세틴 테킨도르,알리 아타이,자니 영",10146,8608,43612
악의 도시, 2018.03.15,2,웨인 블레어,"애드리언 브로디,셀마 헤이엑,쇼레 아그다쉬루,나비드 아카반,가브리엘라 라이트",76,25,34
앤트로포이드, 2018.01.18,1,숀 엘리스,"킬리언 머피,제이미 도넌,안나 게이슬러로바,샬롯 르 본,토비 존스",40,1491,529
앤트맨과 와스프, 2018.07.04,3,페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,마이클 페나,로렌스 피시번",110189,110086,5447972
양의 나무, 2018.10.18,4,요시다 다이하치,"니시키도 료,마츠다 류헤이,키무라 후미노,키타무라 카즈키,유카",4111,7152,3985
어둔 밤, 2018.09.06,4,심찬양,"송의성,이요셉,심정용,오수경,김상훈",3116,76,1393
어드리프트:우리가 함께한 바다, 2018.09.06,4,발타자르 코루마쿠르,"쉐일린 우들리,샘 클라플린,제프리 토머스,엘리자베스 호손,그레이스 파머",31,25,59009
어른도감, 2018.08.23,3,김인선,"엄태구,이재인,서정연,김희창,황정민",1093,5788,6887
거울나라의 앨리스, 2016.09.07,4,제임스 보빈,"조니 뎁,앤 해서웨이,미아 와시코브스카,헬레나 본햄 카터,사챠 바론 코헨",3135,4370,513202
걸즈 앤 판처 극장판, 2016.08.25,3,미즈시마 츠토무,"후치가미 마이,카야노 아이,이구치 유카,후쿠엔 미사토,타카하시 미카코",2071,61,31847
겁쟁이 페달: 더 무비, 2016.01.14,1,나가누마 노리히로,"야마시타 다이키,토리우미 코스케,후쿠시마 준,야스모토 히로키,모리쿠보 쇼타로",36,26,11802
겁쟁이 페달: 스페어바이크, 2016.11.17,4,나베시마 오사무,"모리쿠보 쇼타로,카키하라 테츠야,스와베 쥰이치,야스모토 히로키,이토 켄타로",22,17,2440
구스범스, 2016.01.14,1,롭 레터맨,"잭 블랙,딜런 미네트,오데야 러쉬,라이언 리,에이미 라이언",8166,1519,305131
그날의 분위기, 2016.01.14,1,조규장,"문채원,유연석,조재윤,박민우,이연두",4146,7217,653210
그림자들의 섬, 2016.08.25,3,김정근,"김진숙,박성호,박희찬,윤국성,정태훈",1049,44,4548
극장판 꼬마버스 타요의 에이스 구출작전, 2016.01.21,1,류정우,"문남숙,정혜옥,최하나,김영선,전숙경",7144,1490,135478
극장판 도라에몽:신 진구의 버스 오브 재팬, 2016.12.21,1,야쿠와 신노스케,"채민지,김정아,최낙윤,이현주,조현정",17,11,70350
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!, 2016.07.20,3,타카하시 시게하루,"박경혜,홍범기,김현지,김보영,정혜옥",9161,8668,330725
극장판 유희왕 더 다크 사이드 오브 디멘션즈, 2016.06.09,2,쿠와바라 사토시,"엄상현,장성호,강수진,박선영,최원형",7124,1531,32117
극장판 프랭키와 친구들: 생명의 나무, 2016.04.13,2,박정오,"이소은,안영미,김민정,최승훈",3080,21,56860
극장판 프리파라 모두 모여라! 프리즘☆투어즈, 2016.10.13,4,히시다 마사카즈,"아케사카 사토미 ,아스미 카나,치바 스스무,고토 사오리,하라 사유리",25,15,32955
글로리데이, 2016.03.24,2,최정열,"지수,수호,류준열,김희찬,김동완",10200,10080,189442
네온 데몬, 2016.10.20,4,니콜라스 윈딩 레픈,"엘르 패닝,지나 말론,애비 리,벨라 헤스콧,키아누 리브스",1079,83,1803
노마: 뉴 노르딕 퀴진의 비밀, 2016.07.28,3,피에르 데셤프스,르네 레드제피,60,38,5241
노조키메, 2016.08.10,3,미키 코이치로,"이타노 토모미,시라이시 슌야,이리키 마리,아즈마 치즈루,오자와 료타",66,31,2982
다음 침공은 어디?, 2016.09.08,4,마이클 무어,마이클 무어,4065,63,20922
다이노X 탐험대, 2016.05.04,2,이동희,"정준하,하하,송지우",72,41,83319
드래곤 네스트: 평화 기사단 VS 블랙 드래곤, 2016.11.17,4,송유펑,"이현,김연우,홍진욱,장병관,박상훈",56,49,6347
디브, 2016.09.01,4,나지 아부 노워,자시르 에이드 알휴타트,41,17,2601
디시에르토, 2016.10.05,4,조나스 쿠아론,"가엘 가르시아 베르날,제프리 딘 모건,알론드라 히달고,디에고 카타노,마르코 페레즈",37,31,13812
딜쿠샤, 2016.11.24,4,김태영,"김태영,진혜경,김정옥,김만식,한초원",20083,58,1557
매직브러시, 2016.05.04,2,쯔씽 쫑,"김서영,김경희,박상훈,홍진욱",79,23,172396
맨 인 더 다크, 2016.10.05,4,페데 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토,세르게이 오놉코",27150,21518,1003406
머니 몬스터, 2016.08.31,3,조디 포스터,"조지 클루니,줄리아 로버츠,케이트리오나 발피,잭 오코넬,지안카를로 에스포지토",3066,45,47226
멜리스, 2016.02.11,1,김용운,"홍수아,임성언,양명헌,김하유,최초우",9075,34,11484
몽 루아, 2016.05.26,2,마이웬,"뱅상 카셀,엠마누엘 베르코,루이 가렐,이실드 르 베스코,폴 하미",35,25,5963
바다의 뚜껑, 2016.09.29,4,도요시마 케이스케,"키쿠치 아키코,미네 아즈사,코바야시 유키치,스즈키 케이치,요시무라 무츠오",30,17,2001
바르샤 드림스, 2016.05.04,2,조르디 롬파르트,"리오넬 메시,호셉 과르디올라,요한 크루이프,안드레스 이니에스타,사비 에르난데스",26,13,2281
바스티유 데이, 2016.10.13,4,제임스 왓킨스,"이드리스 엘바,리차드 매든,샬롯 르 본,호세 가르시아,켈리 라일리",30139,28664,96579
바이 더 씨, 2016.04.28,2,안젤리나 졸리,"브래드 피트,안젤리나 졸리,멜라니 로랑,멜빌 푸포,닐스 아르스트럽",61,34,5908
본 투 비 블루, 2016.06.09,2,로버트 뷔드로,"에단 호크,카르멘 에조고,칼럼 키스 레니,토니 나포,스티븐 맥허티",5069,7203,94129
볼쇼이 바빌론, 2016.08.25,3,닉 리드,"세르게이 필린,블라디미르 유린,마리아 알렉산드로바,아나스타샤 메스코바",19,15,1288
블레어 위치, 2016.11.23,4,애덤 윈가드,"칼리 헤르난데스,제임스 앨런 맥퀸,코빈 리드,발로리 커리,웨스 로빈슨",15103,14373,46977
비거 스플래쉬, 2016.08.03,3,루카 구아다니노,"틸다 스윈튼,랄프 파인즈,마티아스 쇼에나에츠,다코타 존슨,오로르 클레망",40140,50096,15322
삼례, 2016.06.23,3,이현정,"이선호,김보라,이용녀,권재현",10114,7217,3264
엄마친구 3, 2017.03.30,2,명석환,"신연우,이영호,서원,서은영,현영임",22,17,125
위대한 임무, 2017.03.23,2,피터 C. 스펜서,"데이빗 토마스 젠킨스,크레이그 로버트 영,레이첼 스펜서 휴잇,존 라이스 데이비스,미미 세가딘",15075,35813,7502
앤트로포이드, 2018.01.18,1,숀 엘리스,"킬리언 머피,제이미 도넌,안나 게이슬러로바,샬롯 르 본,토비 존스",35,7192,529
집의 시간들, 2018.10.25,4,라야,"김채순,함동산,정혜숙,윤원준,박예나",89,7239,1965
찰스 디킨스의 비밀 서재, 2018.01.11,1,바랫 낼러리,"댄 스티븐스,크리스토퍼 플러머,조나단 프라이스,미리암 마고리스,사이먼 캘로우",33,22,7909
철의 심장을 가진 남자, 2018.11.08,4,세드릭 히메네즈,"제이슨 클락,로자먼드 파이크,미아 와시코브스카,잭 레이너,잭 오코넬",16,12,1320
청년 마르크스, 2018.05.17,2,라울 펙,"오거스트 딜,스테판 코나스케,빅키 크리엡스,올리비에 구르메,해나 스틸",33,32,6044
체실 비치에서, 2018.09.20,4,도미닉 쿡,"시얼샤 로넌,빌리 하울,에밀리 왓슨,사뮤엘 웨스트,앤 마리 더프",81,68,30379
친애하는 우리 아이, 2018.11.01,4,미시마 유키코,"아사노 타다노부,다나카 레나,미나미 사라,카마타 라이쥬,아라이 미우",33,32,1591
카메라를 멈추면 안 돼!, 2018.08.23,3,우에다 신이치로,"하마츠 타카유키,아키야마 유즈키,나가야 카즈아키,슈하마 하루미,마오",5034,61,18537
케이크메이커, 2018.05.24,2,오피르 라울 그라이저,"사라 애들러,팀 칼코프,로이 밀러,조허 슈트라우스,산드라 세이드",10094,7218,12106
마신자 - 빨간 옷 소녀의 저주, 2016.07.21,3,웨이-하오 청,"황하,허위녕",15051,16,9761
마음이 외치고 싶어해, 2016.03.30,2,나가이 타츠유키,"미나세 이노리,우치야마 코우키,아마미야 소라,호소야 요시마사,후지와라 케이지",25076,50095,6043
마이 리틀 자이언트, 2016.08.10,3,스티븐 스필버그,"마크 라이런스,루비 반힐,레베카 홀,빌 헤이더,저메인 클레멘트",66,51,125800
마이크롭 앤 가솔린, 2016.03.31,2,미셸 공드리,"앙쥬 다르장,테오필 바케,오드리 토투,디안느 베니에 ,뱅상 라무르",21,35,4399
드래곤 플라이, 2017.12.28,1,조 니,"코린 네멕,도미니카 줄리엣,니콜렛 노엘,벤자민 이스터데이",32,15,10
딥워터 호라이즌, 2017.01.25,1,피터 버그,"마크 월버그,딜런 오브라이언,케이트 허드슨,커트 러셀,지나 로드리게즈",20127,14371,101303
뚜르: 내 생애 최고의 49일, 2017.02.01,1,임정하,"이윤혁,이장훈,윤학병,임영석,이남규",29,37,27908
랜드 오브 마인, 2017.04.06,2,마틴 잔드블리엣,"로랜드 몰러,미켈 폴스라르,루이스 호프만,조엘 바스만,오스카 뵈켈만",63,68,13149
"러브, 어게인", 2017.11.16,4,핼리 메이어스-샤이어,"리즈 위더스푼,피코 알렉산더,냇 울프,존 루드니츠키,마이클 쉰",5078,65,11628
러빙 빈센트, 2017.11.09,4,도로타 코비엘라,"더글러스 부스,시얼샤 로넌,제롬 플린,에이단 터너,헬렌 맥크로리",10121,35819,409589
레드 스카이, 2017.03.02,2,마리오 반 피블스,"캠 지갠뎃,쉐인 웨스트,레이첼 리 쿡,빌 풀만,제이슨 그레이 스탠포드",24,11,2
몬스터 패밀리, 2017.12.21,1,호거 태프,"에밀리 왓슨,닉 프로스트,제시카 브라운 핀들레이,셀리아 아임리,캐서린 테이트",30,15,397649
바람에 젖은 여자, 2017.05.25,2,시오타 아키히코,"나가오카 타스쿠,마미야 유키,카토 타카히로,테이 류신,스즈키 미치코",10068,7195,2604
바람의 춤꾼, 2017.06.06,2,최상진,"이삼헌,변우균",27,14317,2039
반드시 잡는다, 2017.11.29,4,김홍선,"백윤식,성동일,천호진,배종옥,손종학",25126,28653,446780
발레리안: 천 개 행성의 도시, 2017.08.30,3,뤽 베송,"데인 드한,카라 델레바인,리아나,에단 호크,클라이브 오웬",5058,7211,511931
배드 지니어스, 2017.11.02,4,나타우트 폰피리야,"추티몬 추엥차로엔수키잉,차논 산티네톤쿨,에이샤 호수완,티라돈 수파펀핀요,파신 쿠안사타폰",15079,14368,17943
배저로와 친구들: 신비한 모험, 2017.10.26,4,라스무스 A. 실버르센,"김기철,최한,안현서,신경선,이인석",14,14327,26185
문라이트, 2017.02.22,1,배리 젠킨스,"알렉스 R. 히버트,에쉬튼 샌더스,트래반트 로즈,마허샬라 알리,나오미 해리스",81,186,178686
미녀와 야수, 2017.03.16,2,빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,조시 게드,이완 맥그리거",31232,54216,5138330
미스 슬로운, 2017.03.29,2,존 매든,"제시카 차스테인,마크 스트롱,구구 바샤-로,알리슨 필,마이클 스털버그",125,82,48051
미옥, 2017.11.09,4,이안규,"김혜수,이선균,이희준,최무성,김민석",1258,276,242737
분노의 질주: 더 익스트림, 2017.04.12,2,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,미셸 로드리게즈",13974,904,3653238
불한당: 나쁜 놈들의 세상, 2017.05.17,2,변성현,"설경구,임시완,김희원,전혜진,이경영",1195,8312,954190
뷰티풀 투모로우, 2017.10.26,4,장재혁,"박효신,정재일",66,21,63279
브이아이피, 2017.08.23,3,박훈정,"장동건,김명민,박희순,이종석,피터 스토메어",16226,28147,1373342
블레이드 러너 2049, 2017.10.12,4,드니 빌뇌브,"라이언 고슬링,해리슨 포드,아나 디 아르마스,실비아 획스,자레드 레토",6450,3361,322664
비밀의 숲, 2017.06.10,3,안길호,"조승우,배두나,이준혁,이경영,신혜선",240,3425,479124
비정규직 특수요원, 2017.03.16,2,김덕수,"강예원,한채아,조재윤,곽자형,김민교",219,107,149693
나라타주, 2018.03.08,2,유키사다 이사오,"마츠모토 준,아리무라 카스미,사카구치 켄타로,이치카와 미카코,세토 코지",16,11,18326
나를 기억해, 2018.04.19,2,이한욱,"이유영,김희원,오하늬,이학주,김다미",36,60,141072
나를 차버린 스파이, 2018.08.22,3,수잔나 포겔,"밀라 쿠니스,케이트 맥키넌,샘 휴건,저스틴 서룩스,질리언 앤더슨",128,246,264766
나미야 잡화점의 기적, 2018.02.28,1,히로키 류이치,"야마다 료스케,니시다 토시유키,무라카미 니지로,칸이치로,하야시 켄토",474,473,192603
나츠메 우인장: 세상과 연을 맺다, 2018.10.31,4,오오모리 타카히로,"카미야 히로시,이노우에 카즈히코,코바야시 사나에,시마모토 스미,코라 켄고",28,16,25611
너의 결혼식, 2018.08.22,3,이석근,"박보영,김영광,강기영,고규필,장성범",40454,22566,2820585
마야2, 2018.02.01,1,노엘 클리어리,"김서영,김명준,김소희,임채헌,윤세웅",20,28,97078
마일 22, 2018.08.23,3,피터 버그,"마크 월버그,로렌 코핸,이코 우웨이스,론다 로우지,존 말코비치",231,50,69835
마징가 Z: 인피니티, 2018.05.17,2,시미즈 준지,"모리쿠보 쇼타로,카야노 아이,우에사카 스미레,세키 토시히코",19,36,22407
막달라 마리아: 부활의 증인, 2018.03.28,2,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,타하르 라힘,아리안 라베드",31,24,30833
맘마미아!2, 2018.08.08,3,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인",12665,31584,2293795
매직빈, 2018.05.03,2,조이 주,"황창영,민아,장병관",633,56,57009
명당, 2018.09.19,4,박희곤,"조승우,지성,김성균,문채원,유재명",9188,31587,2085695
명탐정 코난 : 제로의 집행인, 2018.08.08,3,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,후루야 토오루,챠후린",278,392,396230
더 넌, 2018.09.19,5,코린 하디,"타이사 파미가,데미안 비쉬어,보니 아론스,샬롯 호프,조니 코인",11991,5172,1011580
독전, 2018.05.22,2,이해영,"조진웅,류준열,김주혁,김성령,박해준",117147,203044,5063620
곰돌이 푸 다시 만나 행복해, 2018.10.03,4,마크 포스터,"이완 맥그리거,헤일리 앳웰,마크 게티스,짐 커밍스,닉 모하메드",596,38,489736
곤지암, 2018.03.28,2,정범식,"위하준,박지현,오아연,문예원,박성훈",32278,42568,2675575
나의 소녀시대, 2016.05.11,2,프랭키 첸,"송운화,왕대륙,이옥새,간정예",18114,21522,410025
